['Amber', 'Mary', 'Danielle', 'Gabrielle', 'Jordan', 'Brooke', 'Michelle', 'Sierra', 'Katelyn', 'Sara']
['Helen', 'Tiana', 'Cassie', 'Kayleigh', 'Marina', 'Heidi', 'Ivy', 'Ashton', 'Clara', 'Linda']
['Gina', 'Meagan', 'Gloria', 'Jacquelyn', 'Ellie', 'Jenny', 'Renee', 'Daniella', 'Lizbeth', 'Anahi']
['Virginia', 'Gisselle', 'Kaitlynn', 'Julissa', 'Cheyanne', 'Lacey', 'Haleigh', 'Marie', 'Eleanor', 'Tiara']
['Kierra', 'Martha', 'Talia', 'Kaylie', 'Mikaela', 'Eliza', 'Harley', 'Jaden', 'Madalyn', 'Hailee']
['Kasey', 'Ashlynn', 'Brandi', 'Lesly', 'Elisabeth', 'Allie', 'Viviana', 'Cara', 'Marisol', 'Tatyana']
['Litzy', 'India', 'Melody', 'Jessie', 'Brandy', 'Alisha', 'Hunter', 'Noelle', 'Carla', 'Francesca']
['Tia', 'Layla', 'Krista', 'Zoey', 'Carley', 'Janet', 'Carissa', 'Iris', 'Kaleigh', 'Tamara']
['Theresa', 'Tyler', 'Yasmine', 'Tatum', 'Susan', 'Sharon', 'Alice', 'Yasmin', 'Tamia', 'Abbey']
['Alayna', 'Kali', 'Bailee', 'Lesley', 'Lilly', 'Mckayla', 'Ayanna', 'Serenity', 'Karissa', 'Precious']
['Maddison', 'Jane', 'Jayda', 'Kelsie', 'Lexi', 'Phoebe', 'Halle', 'Kiersten', 'Kiera', 'Annika']
['Felicity', 'Tyra', 'Taryn', 'Kaylin', 'Ellen', 'Kiley', 'Jaclyn', 'Rhiannon', 'Madisyn', 'Pamela']
['Joy', 'Colleen', 'Tania', 'Charity', 'Fiona', 'Alyson', 'Kaila', 'Annabelle', 'Emely', 'Alina']
['Angelique', 'Regan', 'Irene', 'Johanna', 'Janae', 'Janelle', 'Madyson', 'Justine', 'Paris', 'Paulina']
['Sasha', 'Chelsey', 'Mayra', 'Zaria', 'Skye', 'Brisa', 'Cora', 'Emilie', 'Felicia', 'Larissa']
['Tianna', 'Macie', 'Aurora', 'Sage', 'Lucia', 'Alma', 'Chasity', 'Ann', 'Nichole', 'Alanna']
['Jayden', 'Deborah', 'Malia', 'Angie', 'Carlie', 'Nora', 'Kailee', 'Carrie', 'Elaina', 'Sylvia']
['Sonia', 'Genevieve', 'Kenya', 'Piper', 'Marilyn', 'Amari', 'Macey', 'Marlene', 'Tayler', 'Brooklynn']
['Julianne', 'Barbara', 'Lorena', 'Perla', 'Elisa', 'Kaley', 'Leilani', 'Eden', 'Miracle', 'Devin']
['Aileen', 'Chyna', 'Athena', 'Esperanza', 'Regina', 'Adrienne', 'Shyanne', 'Luz', 'Tierra', 'Eliana']
['Clare', 'Cristal', 'Kelli', 'Eve', 'Sydnee', 'Madelynn', 'Breana', 'Melina', 'Arielle', 'Toni']
