['420', '372', '466', '265', '935', '524', '837', '626', '628', '29', '667', '326', '1', '872', '193', '336', '691', '10', '649', '886', '520', '831', '767', '765', '92', '592', '263', '217', '793', '905', '828', '223']
['14', '518', '387', '817', '442', '750', '927', '878', '233', '515', '527', '953', '243', '431', '13', '357', '919', '832', '652', '42', '24', '531', '709', '90', '292', '944', '353', '694', '490', '463', '680', '304']
['686', '11', '38', '421', '903', '451', '294', '770', '9', '907', '893', '959', '289', '934', '596', '761', '151', '566', '68', '917', '614', '787', '457', '814', '546', '287', '890', '258', '5', '860', '732', '509']
['772', '190', '308', '719', '768', '104', '445', '229', '904', '77', '318', '473', '748', '568', '869', '97', '836', '525', '91', '22', '390', '902', '224', '131', '514', '325', '200', '941', '661', '507', '607', '247']
['877', '16', '864', '867', '689', '843', '105', '433', '623', '477', '37', '278', '803', '645', '873', '145', '488', '929', '379', '780', '830', '264', '557', '389', '188', '683', '320', '809', '825', '208', '166', '440']
['528', '708', '408', '657', '191', '883', '184', '41', '444', '33', '583', '352', '853', '305', '15', '784', '776', '804', '813', '728', '499', '269', '668', '597', '436', '150', '606', '539', '196', '751', '769', '403']
['282', '453', '3', '109', '876', '763', '113', '8', '235', '275', '791', '738', '922', '133', '238', '340', '762', '438', '187', '279', '130', '293', '603', '572', '87', '236', '478', '753', '684', '856', '571', '945']
['635', '6', '157', '823', '286', '664', '165', '925', '866', '486', '31', '848', '731', '646', '369', '306', '790', '827', '808', '816', '189', '742', '417', '17', '548', '532', '69', '821', '931', '696', '670', '283']
['66', '760', '98', '643', '373', '427', '55', '544', '648', '574', '228', '156', '677', '443', '620', '510', '121', '57', '479', '257', '434', '139', '549', '578', '918', '924', '840', '595', '951', '642', '621', '681']
['800', '137', '523', '392', '563', '718', '291', '172', '783', '547', '362', '244', '455', '543', '618', '313', '757', '375', '377', '766', '169', '705', '406', '637', '703', '63', '123', '470', '627', '26', '737', '213']
['799', '356', '117', '338', '492', '432', '370', '322', '698', '214', '826', '947', '415', '540', '542', '695', '493', '720', '141', '939', '173', '185', '288', '584', '262', '839', '79', '844', '673', '162', '101', '45']
['672', '558', '261', '593', '448', '285', '2', '307', '274', '76', '376', '625', '64', '802', '198', '895', '820', '870', '71', '535', '316', '119', '494', '653', '715', '914', '44', '551', '360', '412', '560', '339']
['337', '115', '230', '332', '349', '630', '735', '342', '587', '475', '613', '334', '908', '778', '810', '446', '102', '727', '725', '573', '884', '818', '936', '266', '617', '906', '381', '889', '59', '654', '161', '921']
['378', '0', '782', '859', '178', '168', '100', '741', '255', '481', '221', '365', '805', '938', '396', '409', '721', '84', '928', '132', '756', '786', '385', '559', '656', '219', '569', '86', '327', '586', '952', '163']
['459', '562', '616', '110', '785', '351', '602', '561', '942', '471', '734', '675', '506', '865', '957', '743', '32', '615', '405', '7', '901', '429', '402', '220', '174', '296', '575', '472', '580', '167', '949', '792']
['170', '730', '534', '662', '226', '663', '752', '112', '232', '75', '739', '328', '447', '747', '690', '345', '660', '40', '271', '222', '324', '49', '461', '530', '297', '897', '280', '186', '34', '354', '430', '665']
['517', '634', '46', '536', '147', '414', '148', '4', '227', '854', '207', '874', '397', '502', '386', '311', '937', '60', '347', '650', '391', '591', '722', '425', '194', '600', '159', '53', '418', '533', '879', '930']
['824', '541']
['460', '692', '894', '707', '955', '43', '712', '158', '758', '126', '175', '842', '693', '231', '435', '83', '270', '891', '948', '861', '871', '62', '58', '335', '487', '384', '290', '411', '579', '582', '862', '272']
