['496', '887', '860', '630', '194']
['12', '240', '63', '30', '839']
['238', '711', '653', '514', '373']
['330', '813', '172', '325', '36']
['244', '406', '778', '345', '855']
['233', '46', '929', '811', '599']
['378', '837', '108', '296', '773']
['480', '231', '524', '234', '710']
['970', '696', '760', '889', '958']
['879', '473', '377', '85', '903']
['487', '951', '552', '515', '709']
['978', '199', '613', '670', '908']
['289', '453', '547', '278', '13']
['577', '57', '31', '953', '627']
['784', '930', '5', '895', '424']
['571', '884', '123', '80', '126']
['551', '807', '610', '626', '455']
['809', '26', '261', '109', '230']
['810', '83', '937', '246', '790']
['944', '305', '817', '667', '838']
['672', '985', '912', '935', '274']
['356', '519', '192', '941', '195']
['948', '29', '79', '617', '179']
['942', '414', '649', '965', '733']
['676', '9', '76', '207', '656']
['548', '71', '505', '707', '404']
['479', '301', '286', '742', '644']
['620', '204', '461', '750', '374']
['458', '285', '753', '362', '401']
['642', '158', '840', '857', '896']
['909', '272', '820', '926', '167']
['37', '450', '64', '625', '260']
['635', '591', '584', '729', '769']
['623', '774', '226', '116', '581']
['245', '572', '58', '383', '557']
['964', '133', '893', '164', '919']
['993', '544', '248', '888', '802']
['408', '157', '874', '616', '34']
['589', '361', '114', '349', '48']
['705', '950', '830', '0', '298']
['892', '848', '442', '211', '606']
['156', '816', '624', '890', '117']
['310', '364', '489', '562', '534']
['910', '254', '184', '270', '38']
['343', '740', '674', '825', '549']
['344', '426', '504', '70', '550']
['641', '900', '420', '449', '229']
['250', '781', '169', '190', '952']
['74', '506', '308', '834', '185']
['219', '376', '905', '751', '533']
['66', '61', '104', '746', '469']
['646', '86', '636', '159', '181']
['499', '423', '731', '153', '663']
['338', '762', '491', '509', '998']
['115', '791', '532', '615', '312']
['697', '507', '783', '976', '786']
['946', '604', '336', '154', '821']
['648', '768', '417', '268', '647']
['814', '997', '284', '631', '457']
['18', '162', '955', '927', '323']
['262', '776', '409', '891', '578']
['535', '490', '402', '307', '743']
['569', '300', '363', '468', '494']
['638', '539', '313', '969', '932']
['782', '89', '247', '339', '206']
['82', '392', '97', '828', '44']
['859', '513', '182', '605', '324']
['880', '72', '433', '582', '400']
['329', '497', '566', '132', '107']
['281', '536', '137', '481', '826']
['698', '748', '863', '681', '303']
['718', '902', '290', '151', '555']
['521', '877', '687', '923', '68']
['242', '882', '747', '279', '766']
['793', '95', '437', '737', '512']
['734', '567', '99', '864', '867']
['340', '304', '200', '652', '146']
['368', '448', '869', '988', '389']
['795', '216', '898', '587', '128']
['208', '415', '395', '977', '53']
['427', '422', '992', '445', '899']
['379', '714', '543', '806', '464']
['25', '559', '873', '973', '564']
['987', '251', '81', '160', '351']
['761', '921', '590', '695', '920']
['661', '52', '446', '585', '749']
['348', '669', '174', '28', '353']
['486', '258', '127', '523', '980']
['800', '327', '558', '131', '787']
['334', '16', '210', '375', '365']
['744', '371', '202', '435', '342']
['50', '19', '916', '982', '35']
['59', '17', '257', '603', '331']
['75', '764', '575', '218', '594']
['972', '94', '418', '563', '915']
['430', '991', '352', '129', '40']
['196', '460', '452', '93', '198']
['390', '168', '347', '827', '665']
['470', '33', '866', '933', '438']
['355', '263', '434', '322', '149']
['632', '772', '755', '292', '775']
['658', '683', '73', '405', '875']
['315', '901', '215', '65', '495']
['730', '738', '385', '999', '727']
['103', '945', '62', '429', '574']
['15', '568', '173', '177', '570']
['639', '276', '205', '125', '316']
['538', '264', '451', '553', '823']
['556', '925', '411', '607', '478']
['113', '357', '943', '510', '662']
['704', '936', '393', '282', '472']
['949', '6', '118', '913', '474']
['147', '483', '459', '518', '56']
