['425', '229', '844', '769', '797', '213', '796', '268', '411', '930']
['680', '609', '634', '349', '112', '784', '48', '61', '440', '674']
['381', '119', '354', '17', '230', '12', '830', '908', '104', '900']
['890', '884', '681', '620', '863', '156', '84', '39', '826', '831']
['4', '892', '149', '771', '72', '786', '938', '98', '449', '426']
['715', '777', '206', '966', '628', '378', '501', '566', '747', '181']
['54', '676', '246', '895', '240', '263', '277', '814', '798', '116']
['41', '399', '191', '691', '313', '316', '198', '115', '614', '114']
['781', '307', '233', '629', '819', '662', '731', '236', '496', '919']
['162', '995', '28', '667', '705', '879', '815', '433', '361', '789']
['847', '954', '766', '950', '92', '244', '276', '49', '936', '474']
['319', '302', '364', '647', '594', '510', '695', '632', '459', '870']
['120', '764', '301', '196', '180', '924', '326', '605', '957', '544']
['168', '903', '97', '173', '217', '1', '512', '702', '254', '685']
['564', '972', '371', '666', '359', '532', '163', '235', '19', '859']
['402', '498', '220', '144', '858', '182', '893', '991', '860', '295']
['169', '306', '478', '537', '199', '385', '250', '384', '62', '413']
['611', '167', '471', '296', '386', '74', '843', '109', '216', '374']
['922', '34', '645', '688', '188', '218', '992', '651', '211', '383']
['675', '774', '262', '320', '897', '200', '25', '738', '660', '790']
['185', '803', '85', '124', '861', '553', '584', '595', '35', '913']
['643', '668', '23', '971', '807', '340', '739', '400', '775', '686']
['806', '493', '704', '561', '723', '309', '147', '256', '224', '444']
['765', '234', '540', '127', '142', '379', '415', '372', '835', '108']
['573', '942', '722', '832', '336', '993', '135', '408', '943', '52']
['534', '441', '578', '18', '910', '622', '545', '586', '390', '227']
['948', '33', '816', '55', '980', '329', '654', '285', '591', '51']
['888', '245', '523', '606', '373', '102', '453', '984', '255', '53']
['770', '546', '508', '533', '955', '905', '241', '368', '986', '73']
['886', '520', '113', '636', '138', '298', '492', '396', '726', '851']
['511', '526', '813', '848', '616', '258', '86', '197', '293', '911']
['894', '837', '490', '885', '151', '87', '489', '868', '693', '773']
['563', '880', '823', '788', '63', '896', '300', '88', '597', '279']
['576', '452', '902', '472', '275', '99', '312', '581', '91', '696']
['281', '80', '126', '259', '432', '146', '639', '67', '945', '697']
['515', '518', '853', '979', '507', '43', '805', '671', '522', '468']
['539', '932', '779', '541', '744', '876', '869', '118', '741', '435']
['613', '795', '516', '961', '917', '369', '317', '776', '968', '941']
['346', '247', '658', '334', '464', '448', '78', '619', '652', '875']
['589', '818', '864', '878', '506', '768', '631', '82', '994', '552']
['165', '528', '783', '962', '434', '482', '599', '21', '593', '760']
['128', '828', '438', '437', '60', '407', '321', '999', '6', '889']
['755', '469', '585', '111', '547', '370', '422', '583', '565', '916']
['20', '742', '690', '937', '944', '990', '782', '799', '286', '253']
['635', '278', '69', '0', '96', '420', '550', '740', '260', '713']
['393', '477', '284', '915', '988', '29', '556', '170', '692', '587']
['939', '687', '8', '728', '42', '982', '530', '463', '447', '358']
['621', '484', '959', '521', '486', '353', '602', '618', '637', '709']
['918', '388', '833', '194', '342', '445', '513', '155', '524', '732']
['428', '403', '579', '175', '95', '360', '923', '588', '973', '827']
['15', '221', '159', '767', '874', '850', '829', '367', '750', '725']
['351', '183', '481', '929', '348', '504', '409', '7', '567', '436']
['580', '499', '150', '623', '204', '270', '416', '871', '901', '822']
['682', '718', '130', '751', '877', '856', '934', '257', '780', '846']
['558', '649', '193', '174', '494', '365', '2', '926', '640', '568']
