['336', '623', '358']
['150', '118', '349']
['838', '88', '736']
['23', '888', '767']
['566', '117', '556']
['223', '310', '856']
['502', '855', '138']
['257', '308', '128']
['886', '382', '686']
['848', '821', '581']
['71', '927', '606']
['601', '567', '519']
['835', '833', '922']
['647', '214', '453']
['577', '431', '287']
['297', '880', '919']
['802', '574', '557']
['289', '763', '579']
['455', '544', '260']
['598', '81', '246']
['281', '973', '433']
['187', '276', '34']
['353', '561', '747']
['667', '206', '362']
['509', '600', '870']
['913', '759', '79']
['213', '265', '801']
['343', '372', '584']
['538', '501', '404']
['760', '202', '366']
['512', '227', '962']
['585', '218', '389']
['270', '52', '87']
['245', '80', '236']
['432', '689', '864']
['823', '410', '209']
['22', '99', '925']
['124', '468', '645']
['946', '48', '15']
['394', '868', '347']
['233', '671', '57']
['403', '824', '90']
['891', '361', '44']
['904', '984', '563']
['582', '937', '323']
['899', '525', '805']
['330', '391', '4']
['131', '317', '597']
['151', '346', '694']
['395', '499', '898']
['355', '414', '1']
['885', '338', '869']
['749', '217', '144']
['255', '306', '368']
['399', '427', '929']
['452', '964', '761']
['770', '244', '27']
['166', '837', '5']
['587', '141', '129']
['9', '553', '857']
['72', '624', '313']
['149', '934', '741']
['960', '326', '788']
['728', '322', '562']
['819', '134', '311']
['193', '739', '305']
['174', '795', '110']
['808', '991', '123']
['690', '987', '0']
['758', '125', '190']
['529', '32', '142']
['127', '983', '692']
['194', '930', '285']
['272', '779', '112']
['298', '541', '180']
['471', '344', '279']
['750', '896', '378']
['436', '527', '617']
['704', '732', '348']
['65', '560', '966']
['975', '915', '721']
['400', '208', '230']
['679', '58', '316']
['894', '405', '851']
['428', '407', '813']
['901', '820', '280']
['162', '923', '612']
['18', '352', '559']
['818', '945', '419']
['13', '765', '551']
['420', '266', '111']
['204', '951', '93']
['250', '97', '524']
['663', '976', '269']
['164', '451', '267']
['906', '41', '249']
['877', '571', '448']
['604', '422', '504']
['660', '570', '235']
['513', '954', '651']
['879', '883', '367']
['986', '828', '591']
['76', '716', '814']
['113', '981', '800']
['965', '572', '846']
['332', '614', '106']
['649', '753', '608']
['116', '777', '941']
['769', '299', '764']
['35', '412', '210']
['51', '292', '189']
['122', '16', '806']
['696', '319', '533']
['74', '478', '137']
['907', '532', '773']
['354', '237', '282']
['967', '897', '995']
['917', '619', '961']
['589', '423', '457']
['459', '444', '219']
['555', '315', '594']
['199', '46', '726']
['221', '630', '611']
['625', '678', '905']
['952', '508', '89']
['296', '464', '523']
['345', '197', '333']
['96', '160', '449']
['771', '862', '11']
['895', '370', '185']
['822', '956', '652']
['715', '520', '171']
['228', '638', '707']
['781', '817', '634']
['709', '477', '673']
['659', '718', '102']
['434', '510', '39']
['181', '580', '401']
['874', '447', '683']
['595', '371', '586']
['212', '334', '540']
['61', '887', '70']
['653', '10', '318']
['29', '610', '158']
['25', '364', '627']
['43', '840', '790']
['191', '360', '955']
['932', '639', '115']
['774', '547', '744']
['751', '331', '811']
['474', '418', '924']
['865', '506', '470']
['183', '485', '793']
['64', '719', '743']
['583', '786', '103']
['816', '881', '903']
['429', '303', '958']
['94', '489', '466']
['858', '725', '2']
['641', '948', '970']
['42', '155', '892']
['517', '40', '902']
['632', '872', '409']
['564', '963', '861']
['778', '486', '496']
['536', '435', '522']
['755', '490', '476']
['875', '456', '661']
['697', '8', '170']
['146', '49', '388']
['161', '47', '104']
['45', '38', '3']
['723', '867', '658']
['188', '539', '335']
['703', '327', '550']
['460', '711', '590']
['385', '390', '488']
['154', '278', '615']
['920', '669', '259']
['17', '972', '515']
['889', '733', '629']
['274', '949', '662']
['978', '593', '60']
['710', '156', '7']
['980', '277', '377']
['357', '909', '933']
['203', '483', '6']
['982', '37', '799']
['691', '737']
['63', '495', '107']
['684', '603', '780']
['184', '812', '742']
['226', '262', '375']
['936', '263', '140']
['911', '526', '211']
['350', '841', '101']
['374', '487', '772']
['359', '672', '994']
['729', '402', '53']
['655', '264', '609']
['475', '893', '169']
['167', '762', '136']
['552', '730', '50']
['351', '636', '300']
['12', '242', '569']
['24', '108', '84']
['974', '387', '605']
['492', '717', '748']
['443', '878', '633']
['507', '307', '882']
['688', '114', '803']
['602', '26', '784']
['535', '500', '866']
['215', '342', '67']
['618', '82', '105']
